Vin, Vout, TC, Iin, Iout
+4.00412880E+01, +4.99662590E+00, +2.86090000E+01, +9.98841000E-03, +6.30470500E-02
+4.00424620E+01, +4.99761830E+00, +2.87580000E+01, +1.01507100E-02, +6.40719400E-02
+4.00407660E+01, +4.99740940E+00, +2.88550000E+01, +1.03156400E-02, +6.51164600E-02
+4.00411570E+01, +4.99669120E+00, +2.89610000E+01, +1.04700900E-02, +6.61374300E-02
+4.00398520E+01, +4.99739630E+00, +2.91220000E+01, +1.06284700E-02, +6.71361400E-02
+4.00388080E+01, +4.99692620E+00, +2.92660000E+01, +1.08012500E-02, +6.81714900E-02
+4.00402430E+01, +4.99653450E+00, +2.94040000E+01, +1.09609400E-02, +6.92147100E-02
+4.00398520E+01, +4.99626030E+00, +2.95600000E+01, +1.11271700E-02, +7.02618500E-02
+4.00399820E+01, +4.99654760E+00, +2.96960000E+01, +1.12777000E-02, +7.12265300E-02
+4.00394600E+01, +4.99599910E+00, +2.98140000E+01, +1.14478600E-02, +7.22710500E-02
+4.00403740E+01, +4.99581630E+00, +2.99480000E+01, +1.16075500E-02, +7.32933200E-02
+4.00391990E+01, +4.99550290E+00, +3.00450000E+01, +1.17593800E-02, +7.43496200E-02
+4.00399820E+01, +4.99500670E+00, +3.02220000E+01, +1.19230000E-02, +7.53601100E-02
+4.00415490E+01, +4.99495450E+00, +3.03350000E+01, +1.20709100E-02, +7.63627500E-02
+4.00395910E+01, +4.99462800E+00, +3.04690000E+01, +1.22436800E-02, +7.74242800E-02
+4.00398520E+01, +4.99405340E+00, +3.05890000E+01, +1.24138400E-02, +7.84570300E-02
+4.00398520E+01, +4.99333520E+00, +3.06990000E+01, +1.25761500E-02, +7.94832200E-02
+4.00377640E+01, +4.99364860E+00, +3.08500000E+01, +1.27306000E-02, +8.04897900E-02
+4.00378940E+01, +4.99328300E+00, +3.09540000E+01, +1.28968400E-02, +8.15028900E-02
+4.00398520E+01, +4.99294350E+00, +3.10860000E+01, +1.30591400E-02, +8.25500300E-02
+4.00391990E+01, +4.99221230E+00, +3.12060000E+01, +1.32201400E-02, +8.35945600E-02
+4.00384160E+01, +4.99041020E+00, +3.13160000E+01, +1.33654300E-02, +8.45841300E-02
