Vin, Vout, TC, Iin, Iout
+4.50579690E+01, +5.02023500E+00, +2.22950000E+01, +1.32200000E-04, +3.93000000E-06
+4.50596650E+01, +5.04530680E+00, +2.23310000E+01, +1.34820000E-04, +2.62000000E-06
+4.50566630E+01, +5.01254380E+00, +2.23150000E+01, +1.66230000E-04, +2.61780000E-04
+4.50570550E+01, +5.01276580E+00, +2.23700000E+01, +3.16760000E-04, +1.28798000E-03
+4.50594040E+01, +5.01258290E+00, +2.24410000E+01, +4.62050000E-04, +2.31287000E-03
+4.50548360E+01, +5.01191700E+00, +2.24760000E+01, +6.03410000E-04, +3.31682000E-03
+4.50560110E+01, +5.01126410E+00, +2.25830000E+01, +7.51320000E-04, +4.36657000E-03
+4.50607100E+01, +5.01098980E+00, +2.26670000E+01, +8.96610000E-04, +5.37837000E-03
+4.50601870E+01, +5.01080700E+00, +2.27480000E+01, +1.04060000E-03, +6.41504000E-03
+4.50577080E+01, +5.01046750E+00, +2.28250000E+01, +1.18327000E-03, +7.40066000E-03
+4.50590130E+01, +5.00987990E+00, +2.29090000E+01, +1.31547000E-03, +8.44649000E-03
+4.50595350E+01, +5.00961870E+00, +2.30000000E+01, +1.47254000E-03, +9.48447000E-03
+4.50599260E+01, +5.00916170E+00, +2.30640000E+01, +1.59820000E-03, +1.05015000E-02
+4.50574460E+01, +5.00863940E+00, +2.31680000E+01, +1.76574000E-03, +1.15355500E-02
+4.50575770E+01, +5.00857410E+00, +2.32620000E+01, +1.89532000E-03, +1.25277200E-02
+4.50596650E+01, +5.00789510E+00, +2.33460000E+01, +2.04192000E-03, +1.35787900E-02
+4.50578380E+01, +5.00779060E+00, +2.34620000E+01, +2.18721000E-03, +1.46141500E-02
+4.50574460E+01, +5.00733360E+00, +2.35390000E+01, +2.33250000E-03, +1.56442700E-02
+4.50579690E+01, +5.00685040E+00, +2.36460000E+01, +2.48565000E-03, +1.66312000E-02
+4.50583600E+01, +5.00639340E+00, +2.37370000E+01, +2.62570000E-03, +1.76770300E-02
+4.50603180E+01, +5.00615830E+00, +2.38170000E+01, +2.76052000E-03, +1.87254800E-02
+4.50599260E+01, +5.00591020E+00, +2.39080000E+01, +2.90843000E-03, +1.97569100E-02
+4.50564020E+01, +5.00557070E+00, +2.40270000E+01, +3.05634000E-03, +2.07883400E-02
+4.50574460E+01, +5.00525730E+00, +2.41210000E+01, +3.20294000E-03, +2.17975500E-02
+4.50578380E+01, +5.00480030E+00, +2.42250000E+01, +3.34169000E-03, +2.28342100E-02
+4.50564020E+01, +5.00490480E+00, +2.43250000E+01, +3.49483000E-03, +2.38695700E-02
+4.50564020E+01, +5.00448690E+00, +2.44350000E+01, +3.63227000E-03, +2.49036200E-02
+4.50586210E+01, +5.00387320E+00, +2.45190000E+01, +3.77756000E-03, +2.58866300E-02
+4.50586210E+01, +5.00363810E+00, +2.46190000E+01, +3.92547000E-03, +2.69337700E-02
+4.50590130E+01, +5.00335080E+00, +2.47220000E+01, +4.06814000E-03, +2.79691300E-02
+4.50579690E+01, +5.00325940E+00, +2.48290000E+01, +4.21343000E-03, +2.90136500E-02
+4.50579690E+01, +5.00286770E+00, +2.49390000E+01, +4.35218000E-03, +3.00136700E-02
+4.50584910E+01, +5.00289380E+00, +2.50520000E+01, +4.49223000E-03, +3.10176100E-02
+4.50594040E+01, +5.00264570E+00, +2.51580000E+01, +4.64407000E-03, +3.20686800E-02
+4.50560110E+01, +5.00226700E+00, +2.52710000E+01, +4.78805000E-03, +3.30844000E-02
+4.50566630E+01, +5.00161410E+00, +2.53590000E+01, +4.93596000E-03, +3.41315400E-02
+4.50578380E+01, +5.00135290E+00, +2.54650000E+01, +5.07077000E-03, +3.51368000E-02
+4.50575770E+01, +5.00132680E+00, +2.55910000E+01, +5.21868000E-03, +3.61708500E-02
+4.50573160E+01, +5.00092200E+00, +2.56950000E+01, +5.36136000E-03, +3.72049000E-02
+4.50570550E+01, +5.00072620E+00, +2.57920000E+01, +5.51450000E-03, +3.82428800E-02
+4.50566630E+01, +5.00042580E+00, +2.59240000E+01, +5.65194000E-03, +3.92389700E-02
+4.50575770E+01, +5.00025610E+00, +2.60310000E+01, +5.80377000E-03, +4.02743300E-02
+4.50592740E+01, +4.99996880E+00, +2.61410000E+01, +5.92812000E-03, +4.13214700E-02
+4.50571850E+01, +4.99991650E+00, +2.62700000E+01, +6.09697000E-03, +4.23450700E-02
+4.50579690E+01, +4.99972070E+00, +2.63670000E+01, +6.23441000E-03, +4.33987500E-02
+4.50550970E+01, +4.99921140E+00, +2.64770000E+01, +6.36923000E-03, +4.43843700E-02
+4.50573160E+01, +4.99896330E+00, +2.65830000E+01, +6.51321000E-03, +4.54171100E-02
+4.50554890E+01, +4.99889800E+00, +2.67100000E+01, +6.66766000E-03, +4.64498600E-02
+4.50567940E+01, +4.99853240E+00, +2.68230000E+01, +6.80772000E-03, +4.74812900E-02
+4.50570550E+01, +4.99831040E+00, +2.69490000E+01, +6.94254000E-03, +4.84878500E-02
+4.50573160E+01, +4.99808840E+00, +2.70420000E+01, +7.10354000E-03, +4.95284500E-02
+4.50566630E+01, +4.99786640E+00, +2.71850000E+01, +7.24097000E-03, +5.05323900E-02
+4.50567940E+01, +4.99760530E+00, +2.72690000E+01, +7.39150000E-03, +5.15782200E-02
+4.50573160E+01, +4.99785340E+00, +2.74240000E+01, +7.53286000E-03, +5.25769400E-02
+4.50570550E+01, +4.99755300E+00, +2.75500000E+01, +7.68077000E-03, +5.36201600E-02
+4.50578380E+01, +4.99669120E+00, +2.76560000E+01, +7.82213000E-03, +5.46358800E-02
+4.50550970E+01, +4.99760530E+00, +2.77730000E+01, +7.96350000E-03, +5.56869500E-02
+4.50552280E+01, +4.99770970E+00, +2.79120000E+01, +8.11272000E-03, +5.67223100E-02
+4.50561410E+01, +4.99751390E+00, +2.80510000E+01, +8.26324000E-03, +5.77210200E-02
+4.50570550E+01, +4.99829730E+00, +2.81770000E+01, +8.41377000E-03, +5.87498300E-02
+4.50554890E+01, +4.99825820E+00, +2.83060000E+01, +8.55775000E-03, +5.98022100E-02
+4.50557500E+01, +4.99906780E+00, +2.84320000E+01, +8.71351000E-03, +6.08401900E-02
+4.50561410E+01, +4.99939420E+00, +2.85840000E+01, +8.85095000E-03, +6.18284200E-02
+4.50558800E+01, +4.99872830E+00, +2.87070000E+01, +8.99886000E-03, +6.28716400E-02
+4.50562720E+01, +5.00039970E+00, +2.88780000E+01, +9.15986000E-03, +6.39083300E-02
+4.50569240E+01, +5.00041280E+00, +2.90330000E+01, +9.29337000E-03, +6.49371400E-02
+4.50569240E+01, +5.00067390E+00, +2.91620000E+01, +9.45436000E-03, +6.59725000E-02
+4.50549670E+01, +5.00039970E+00, +2.92950000E+01, +9.58395000E-03, +6.69803700E-02
+4.50544440E+01, +5.00080450E+00, +2.94530000E+01, +9.73971000E-03, +6.80144200E-02
+4.50545750E+01, +5.00188830E+00, +2.96050000E+01, +9.89809000E-03, +6.90445500E-02
+4.50549670E+01, +4.99994270E+00, +2.97180000E+01, +1.00355300E-02, +7.00851400E-02
+4.50554890E+01, +5.00084370E+00, +2.98630000E+01, +1.01808200E-02, +7.10602900E-02
+4.50553580E+01, +5.00171860E+00, +3.00350000E+01, +1.03313400E-02, +7.20891100E-02
+4.50548360E+01, +5.00173160E+00, +3.02120000E+01, +1.04844900E-02, +7.31244700E-02
+4.50565330E+01, +5.00139210E+00, +3.03450000E+01, +1.06166900E-02, +7.41650600E-02
+4.50564020E+01, +5.00160100E+00, +3.04710000E+01, +1.07672200E-02, +7.51572300E-02
+4.50570550E+01, +5.00195360E+00, +3.06450000E+01, +1.09308300E-02, +7.61991300E-02
+4.50562720E+01, +5.00162720E+00, +3.07710000E+01, +1.10643400E-02, +7.72305600E-02
+4.50535310E+01, +5.00148350E+00, +3.09330000E+01, +1.12253400E-02, +7.82816300E-02
+4.50545750E+01, +5.00100040E+00, +3.11010000E+01, +1.13627800E-02, +7.93104500E-02
+4.50561410E+01, +4.99969460E+00, +3.12370000E+01, +1.15054500E-02, +8.03130800E-02
+4.50543140E+01, +5.00132680E+00, +3.13720000E+01, +1.16533600E-02, +8.13340400E-02
+4.50549670E+01, +5.00084370E+00, +3.15400000E+01, +1.18025800E-02, +8.23759500E-02
+4.50544440E+01, +5.00073920E+00, +3.16760000E+01, +1.19609600E-02, +8.34204700E-02
+4.50549670E+01, +5.00043890E+00, +3.18180000E+01, +1.20826900E-02, +8.44087400E-02
+4.50544440E+01, +5.00047800E+00, +3.19610000E+01, +1.22449900E-02, +8.54571900E-02
+4.50547050E+01, +4.99970760E+00, +3.21120000E+01, +1.23876600E-02, +8.64990900E-02
+4.50561410E+01, +4.99959010E+00, +3.22610000E+01, +1.25342600E-02, +8.75370700E-02
