Vin, Vout, Iin, Iout
+4.00499020E+01, +4.99837570E+00, +1.24740500E-02, +7.88235300E-02
+4.00485970E+01, +4.99810150E+00, +1.26389800E-02, +7.98274700E-02
+4.00485970E+01, +4.99764440E+00, +1.27842700E-02, +8.08471200E-02
+4.00484660E+01, +4.99747470E+00, +1.29557400E-02, +8.18654700E-02
+4.00488580E+01, +4.99720050E+00, +1.31075700E-02, +8.29099900E-02
+4.00502940E+01, +4.99688710E+00, +1.32777300E-02, +8.38956400E-02
+4.00496410E+01, +4.99650840E+00, +1.34256400E-02, +8.49244500E-02
+4.00485970E+01, +4.99618190E+00, +1.35827100E-02, +8.59572000E-02
+4.00497720E+01, +4.99552900E+00, +1.37450200E-02, +8.69899400E-02
+4.00493800E+01, +4.99508500E+00, +1.38994700E-02, +8.80213700E-02
+4.00487270E+01, +4.99516340E+00, +1.40644000E-02, +8.90043700E-02
+4.00506850E+01, +4.99479780E+00, +1.42149200E-02, +9.00449700E-02
+4.00488580E+01, +4.99424930E+00, +1.43759200E-02, +9.10423700E-02
+4.00492500E+01, +4.99389670E+00, +1.45329900E-02, +9.20790400E-02
+4.00479440E+01, +4.99375310E+00, +1.46992300E-02, +9.30698900E-02
+4.00488580E+01, +4.99323080E+00, +1.48523700E-02, +9.41091800E-02
+4.00482050E+01, +4.99340050E+00, +1.50251500E-02, +9.51458500E-02
+4.00491190E+01, +4.99306100E+00, +1.51861500E-02, +9.61602600E-02
+4.00489890E+01, +4.99268230E+00, +1.53392900E-02, +9.71576700E-02
+4.00493800E+01, +4.99227750E+00, +1.55042100E-02, +9.81917200E-02
+4.00497720E+01, +4.99189890E+00, +1.56573600E-02, +9.92310000E-02
+4.00488580E+01, +4.99184660E+00, +1.58144300E-02, +1.00241490E-01
+4.00492500E+01, +4.99162460E+00, +1.59806600E-02, +1.01279470E-01
+4.00499020E+01, +4.99142880E+00, +1.61351200E-02, +1.02270330E-01
+4.00471610E+01, +4.98834700E+00, +1.62948100E-02, +1.03304380E-01
+4.00469000E+01, +4.99024050E+00, +1.64518800E-02, +1.04338430E-01
+4.00469000E+01, +4.98990100E+00, +1.66102600E-02, +1.05373810E-01
+4.00476830E+01, +4.98954840E+00, +1.67581700E-02, +1.06355500E-01
+4.00478140E+01, +4.98928720E+00, +1.69217800E-02, +1.07388240E-01
+4.00483360E+01, +4.98920890E+00, +1.70801600E-02, +1.08418370E-01
+4.00487270E+01, +4.98898690E+00, +1.72411600E-02, +1.09440640E-01
+4.00487270E+01, +4.98958760E+00, +1.74073900E-02, +1.10465520E-01
+4.00485970E+01, +4.98651890E+00, +1.75500600E-02, +1.11436750E-01
+4.00479440E+01, +4.98847760E+00, +1.77241500E-02, +1.12482580E-01
+4.00484660E+01, +4.98856900E+00, +1.78812200E-02, +1.13496990E-01
+4.00469000E+01, +4.98875180E+00, +1.80474600E-02, +1.14540210E-01
+4.00469000E+01, +4.98838620E+00, +1.82006000E-02, +1.15528460E-01
+4.00475530E+01, +4.98888240E+00, +1.83655200E-02, +1.16569050E-01
+4.00487270E+01, +4.98923500E+00, +1.85304500E-02, +1.17583470E-01
+4.00470310E+01, +4.98996630E+00, +1.87006100E-02, +1.18629300E-01
+4.00474220E+01, +4.99007070E+00, +1.88459000E-02, +1.19612300E-01
+4.00472920E+01, +4.98867350E+00, +1.90213000E-02, +1.20658130E-01
+4.00475530E+01, +4.98919580E+00, +1.91770600E-02, +1.21672550E-01
+4.00476830E+01, +4.98945700E+00, +1.93406700E-02, +1.22701360E-01
+4.00478140E+01, +4.98937860E+00, +1.94977400E-02, +1.23735420E-01
+4.00475530E+01, +4.98996630E+00, +1.96535100E-02, +1.24736740E-01
+4.00449420E+01, +4.99010990E+00, +1.98289000E-02, +1.25760320E-01
+4.00459870E+01, +4.99056690E+00, +1.99912100E-02, +1.26773460E-01
+4.00461170E+01, +4.98876490E+00, +2.01443500E-02, +1.27811440E-01
+4.00459870E+01, +4.98802060E+00, +2.02988100E-02, +1.28800980E-01
+4.00455950E+01, +4.98782470E+00, +2.04545700E-02, +1.29833730E-01
+4.00461170E+01, +4.98785080E+00, +2.06168800E-02, +1.30880870E-01
+4.00466390E+01, +4.98936560E+00, +2.07844200E-02, +1.31882190E-01
+4.00469000E+01, +4.98949620E+00, +2.09493400E-02, +1.32903150E-01
+4.00472920E+01, +4.98988790E+00, +2.11103600E-02, +1.33886160E-01
+4.00471610E+01, +4.99009680E+00, +2.12726700E-02, +1.34933300E-01
+4.00469000E+01, +4.99017520E+00, +2.14284300E-02, +1.35955570E-01
+4.00470310E+01, +4.98696290E+00, +2.15881200E-02, +1.36984400E-01
+4.00441590E+01, +4.98678010E+00, +2.17412600E-02, +1.37981800E-01
+4.00454640E+01, +4.98819030E+00, +2.19022600E-02, +1.39000150E-01
+4.00455950E+01, +4.98839930E+00, +2.20737300E-02, +1.40047290E-01
+4.00466390E+01, +4.98833400E+00, +2.22308000E-02, +1.41073480E-01
+4.00455950E+01, +4.98714570E+00, +2.23852500E-02, +1.42049940E-01
+4.00455950E+01, +4.98816420E+00, +2.25501800E-02, +1.43101010E-01
+4.00463780E+01, +4.98756360E+00, +2.27177200E-02, +1.44128510E-01
+4.00457250E+01, +4.98753740E+00, +2.28800300E-02, +1.45167800E-01
+4.00462480E+01, +4.98751130E+00, +2.30357900E-02, +1.46186140E-01
+4.00465090E+01, +4.98785080E+00, +2.31823900E-02, +1.47180940E-01
+4.00465090E+01, +4.98355470E+00, +2.33172100E-02, +1.48213680E-01
+4.00478140E+01, +4.98256230E+00, +2.34978400E-02, +1.49237260E-01
+4.00445510E+01, +4.98429900E+00, +2.36614500E-02, +1.50270000E-01
+4.00455950E+01, +4.98458630E+00, +2.38067500E-02, +1.51262160E-01
+4.00446810E+01, +4.98480830E+00, +2.39729800E-02, +1.52271350E-01
+4.00458560E+01, +4.98536980E+00, +2.41405200E-02, +1.53300160E-01
+4.00455950E+01, +4.98496500E+00, +2.42975900E-02, +1.54334210E-01
+4.00453340E+01, +4.98544810E+00, +2.44638300E-02, +1.55355170E-01
+4.00455950E+01, +4.98548730E+00, +2.46130400E-02, +1.56361740E-01
+4.00448120E+01, +4.98536980E+00, +2.47779700E-02, +1.57393190E-01
+4.00458560E+01, +4.98500420E+00, +2.49415800E-02, +1.58411530E-01
+4.00453340E+01, +4.98506950E+00, +2.50960400E-02, +1.59440350E-01
+4.00446810E+01, +4.98538280E+00, +2.52570300E-02, +1.60444290E-01
+4.00442900E+01, +4.98333270E+00, +2.54049400E-02, +1.61471800E-01
+4.00435070E+01, +4.98475610E+00, +2.55685600E-02, +1.62487520E-01
+4.00449420E+01, +4.98561790E+00, +2.57465700E-02, +1.63503250E-01
+4.00446810E+01, +4.98509560E+00, +2.58892400E-02, +1.64495420E-01
+4.00442900E+01, +4.98454710E+00, +2.60698800E-02, +1.65524230E-01
+4.00442900E+01, +4.98462550E+00, +2.62295700E-02, +1.66570060E-01
+4.00450730E+01, +4.98441650E+00, +2.63814000E-02, +1.67585790E-01
+4.00441590E+01, +4.98412930E+00, +2.65489400E-02, +1.68619850E-01
+4.00453340E+01, +4.98407700E+00, +2.67073200E-02, +1.69608090E-01
+4.00445510E+01, +4.98415540E+00, +2.68670100E-02, +1.70640830E-01
+4.00453340E+01, +4.98381590E+00, +2.70424100E-02, +1.71670950E-01
+4.00454640E+01, +4.98378980E+00, +2.71994800E-02, +1.72677510E-01
+4.00427230E+01, +4.98339800E+00, +2.73526200E-02, +1.73673610E-01
+4.00435070E+01, +4.98299320E+00, +2.75123100E-02, +1.74701110E-01
+4.00435070E+01, +4.97908880E+00, +2.76772400E-02, +1.75740400E-01
+4.00432460E+01, +4.98270590E+00, +2.78421600E-02, +1.76777070E-01
+4.00431150E+01, +4.98424680E+00, +2.80110100E-02, +1.77757450E-01
+4.00442900E+01, +4.98398560E+00, +2.81641600E-02, +1.78794150E-01
+4.00442900E+01, +4.98386810E+00, +2.83382400E-02, +1.79815110E-01
+4.00440290E+01, +4.98416840E+00, +2.84966200E-02, +1.80854400E-01
+4.00453340E+01, +4.98384200E+00, +2.86667800E-02, +1.81883210E-01
+4.00444200E+01, +4.98365920E+00, +2.88120700E-02, +1.82867520E-01
+4.00445510E+01, +4.98372450E+00, +2.89743800E-02, +1.83919900E-01
+4.00424620E+01, +4.98351550E+00, +2.91458500E-02, +1.84935630E-01
+4.00441590E+01, +4.98328050E+00, +2.93133900E-02, +1.85967060E-01
+4.00436370E+01, +4.98298010E+00, +2.94730800E-02, +1.86959220E-01
+4.00432460E+01, +4.98149150E+00, +2.96353900E-02, +1.87998510E-01
+4.00435070E+01, +4.98200080E+00, +2.98055500E-02, +1.89012940E-01
+4.00432460E+01, +4.98363310E+00, +2.99678500E-02, +1.90057460E-01
+4.00425930E+01, +4.98291490E+00, +3.01249300E-02, +1.91099360E-01
+4.00431150E+01, +4.98335880E+00, +3.02846100E-02, +1.92065350E-01
+4.00437680E+01, +4.98314990E+00, +3.04390700E-02, +1.93096780E-01
+4.00435070E+01, +4.98260150E+00, +3.06118500E-02, +1.94124290E-01
+4.00442900E+01, +4.98235340E+00, +3.07676100E-02, +1.95150490E-01
+4.00448120E+01, +4.98271900E+00, +3.09299100E-02, +1.96132180E-01
+4.00423320E+01, +4.98278430E+00, +3.10882900E-02, +1.97174080E-01
+4.00425930E+01, +4.98244480E+00, +3.12584500E-02, +1.98202900E-01
+4.00422010E+01, +4.98275820E+00, +3.14168300E-02, +1.99225170E-01
+4.00429840E+01, +4.98261450E+00, +3.15726000E-02, +2.00213440E-01
+4.00425930E+01, +4.98254920E+00, +3.17401400E-02, +2.01255340E-01
+4.00427230E+01, +4.97982010E+00, +3.19063700E-02, +2.02277610E-01
+4.00428540E+01, +4.98124340E+00, +3.20621300E-02, +2.03303810E-01
+4.00432460E+01, +4.98151760E+00, +3.22244400E-02, +2.04336550E-01
+4.00433760E+01, +4.98158290E+00, +3.23841300E-02, +2.05330020E-01
+4.00442900E+01, +4.98137400E+00, +3.25477500E-02, +2.06354910E-01
+4.00429840E+01, +4.98154380E+00, +3.27152900E-02, +2.07377180E-01
+4.00411570E+01, +4.98077330E+00, +3.28723600E-02, +2.08413850E-01
+4.00416790E+01, +4.98094310E+00, +3.30268100E-02, +2.09408630E-01
+4.00425930E+01, +4.98081250E+00, +3.31943500E-02, +2.10436150E-01
+4.00423320E+01, +4.98014650E+00, +3.33671300E-02, +2.11487220E-01
+4.00428540E+01, +4.97848820E+00, +3.35176600E-02, +2.12488540E-01
+4.00431150E+01, +4.98015960E+00, +3.36904400E-02, +2.13527830E-01
+4.00423320E+01, +4.97982010E+00, +3.38357300E-02, +2.14513450E-01
+4.00420710E+01, +4.97988540E+00, +3.39993400E-02, +2.15540960E-01
+4.00419400E+01, +4.97919330E+00, +3.41590300E-02, +2.16577630E-01
+4.00425930E+01, +4.97940220E+00, +3.43265700E-02, +2.17603820E-01
+4.00432460E+01, +4.97893210E+00, +3.44810300E-02, +2.18595990E-01
+4.00408960E+01, +4.97865790E+00, +3.46616600E-02, +2.19636580E-01
+4.00414180E+01, +4.97654250E+00, +3.48134900E-02, +2.20664130E-01
+4.00415490E+01, +4.97792670E+00, +3.49771100E-02, +2.21678550E-01
+4.00428540E+01, +4.97894520E+00, +3.51328700E-02, +2.22678560E-01
+4.00416790E+01, +4.97886680E+00, +3.52938700E-02, +2.23717850E-01
+4.00408960E+01, +4.97912800E+00, +3.54561800E-02, +2.24736190E-01
+4.00412880E+01, +4.97864480E+00, +3.56211000E-02, +2.25772860E-01
+4.00420710E+01, +4.97839670E+00, +3.57821000E-02, +2.26795130E-01
+4.00422010E+01, +4.97843590E+00, +3.59444100E-02, +2.27783370E-01
+4.00427230E+01, +4.97782220E+00, +3.61119500E-02, +2.28823970E-01
+4.00416790E+01, +4.97941530E+00, +3.62703300E-02, +2.29850160E-01
+4.00419400E+01, +4.97899740E+00, +3.64313300E-02, +2.30896000E-01
+4.00394600E+01, +4.97876240E+00, +3.65870900E-02, +2.31885550E-01
+4.00403740E+01, +4.97872320E+00, +3.67533200E-02, +2.32892120E-01
+4.00402430E+01, +4.97825310E+00, +3.69090800E-02, +2.33930090E-01
+4.00411570E+01, +4.97827920E+00, +3.70805500E-02, +2.34968070E-01
+4.00414180E+01, +4.97787440E+00, +3.72376200E-02, +2.35983800E-01
+4.00412880E+01, +4.97817480E+00, +3.73907700E-02, +2.36985120E-01
+4.00415490E+01, +4.97949360E+00, +3.75543800E-02, +2.37999540E-01
+4.00416790E+01, +4.97903660E+00, +3.77206200E-02, +2.39037520E-01
+4.00412880E+01, +4.97904970E+00, +3.78842300E-02, +2.40065020E-01
+4.00416790E+01, +4.97856650E+00, +3.80478500E-02, +2.41054570E-01
+4.00412880E+01, +4.97860570E+00, +3.82023000E-02, +2.42089940E-01
+4.00389380E+01, +4.97848820E+00, +3.83698400E-02, +2.43113520E-01
+4.00395910E+01, +4.97919330E+00, +3.85413100E-02, +2.44147570E-01
+4.00401130E+01, +4.97894520E+00, +3.87036200E-02, +2.45141040E-01
+4.00412880E+01, +4.97881460E+00, +3.88606900E-02, +2.46171170E-01
+4.00411570E+01, +4.97887990E+00, +3.90295400E-02, +2.47209150E-01
+4.00406350E+01, +4.97861870E+00, +3.91774500E-02, +2.48236650E-01
+4.00395910E+01, +4.97899740E+00, +3.93541500E-02, +2.49257610E-01
+4.00406350E+01, +4.97916720E+00, +3.95125300E-02, +2.50251090E-01
+4.00410270E+01, +4.97897130E+00, +3.96774600E-02, +2.51291680E-01
+4.00403740E+01, +4.97874930E+00, +3.98345300E-02, +2.52319220E-01
+4.00399820E+01, +4.97876240E+00, +3.99981500E-02, +2.53315310E-01
+4.00412880E+01, +4.97812250E+00, +4.01552200E-02, +2.54303550E-01
+4.00397210E+01, +4.97911490E+00, +4.03293000E-02, +2.55340220E-01
+4.00391990E+01, +4.97894520E+00, +4.04942300E-02, +2.56374270E-01
+4.00388080E+01, +4.97911490E+00, +4.06657000E-02, +2.57408320E-01
+4.00393300E+01, +4.97885380E+00, +4.08280000E-02, +2.58446300E-01
+4.00395910E+01, +4.97876240E+00, +4.09903100E-02, +2.59435840E-01
+4.00391990E+01, +4.97887990E+00, +4.11565400E-02, +2.60476440E-01
+4.00403740E+01, +4.97899740E+00, +4.13201600E-02, +2.61493470E-01
+4.00398520E+01, +4.97851430E+00, +4.14837800E-02, +2.62528840E-01
+4.00399820E+01, +4.97867100E+00, +4.16408500E-02, +2.63526240E-01
+4.00399820E+01, +4.97867100E+00, +4.18149300E-02, +2.64564220E-01
+4.00401130E+01, +4.97856650E+00, +4.19877300E-02, +2.65578640E-01
+4.00376330E+01, +4.97844900E+00, +4.21474200E-02, +2.66621850E-01
+4.00391990E+01, +4.97837060E+00, +4.23044900E-02, +2.67610090E-01
+4.00393300E+01, +4.97840980E+00, +4.24681100E-02, +2.68631050E-01
+4.00403740E+01, +4.97816170E+00, +4.26291000E-02, +2.69662480E-01
+4.00393300E+01, +4.97848820E+00, +4.27953400E-02, +2.70708310E-01
+4.00397210E+01, +4.97818780E+00, +4.29602600E-02, +2.71726660E-01
+4.00390690E+01, +4.97787440E+00, +4.31251900E-02, +2.72725400E-01
+4.00390690E+01, +4.97777000E+00, +4.32888000E-02, +2.73729340E-01
+4.00391990E+01, +4.97766550E+00, +4.34511100E-02, +2.74775170E-01
+4.00389380E+01, +4.97760020E+00, +4.36134200E-02, +2.75801370E-01
+4.00398520E+01, +4.97754800E+00, +4.37678700E-02, +2.76796150E-01
+4.00398520E+01, +4.97748270E+00, +4.39341000E-02, +2.77822350E-01
+4.00388080E+01, +4.97748270E+00, +4.41055700E-02, +2.78839380E-01
+4.00378940E+01, +4.97733900E+00, +4.42665700E-02, +2.79883910E-01
+4.00380250E+01, +4.97696030E+00, +4.44275700E-02, +2.80907490E-01
+4.00377640E+01, +4.97715620E+00, +4.45924900E-02, +2.81911430E-01
+4.00381550E+01, +4.97669920E+00, +4.47521800E-02, +2.82933700E-01
+4.00380250E+01, +4.97649030E+00, +4.49210300E-02, +2.83957300E-01
+4.00381550E+01, +4.97667310E+00, +4.50846500E-02, +2.85004440E-01
+4.00382860E+01, +4.97666000E+00, +4.52574300E-02, +2.85984830E-01
+4.00381550E+01, +4.97626830E+00, +4.54105700E-02, +2.87020180E-01
+4.00378940E+01, +4.97581120E+00, +4.55741900E-02, +2.88046380E-01
+4.00382860E+01, +4.97596790E+00, +4.57417300E-02, +2.89079120E-01
+4.00393300E+01, +4.97575900E+00, +4.59118900E-02, +2.90071290E-01
+4.00367190E+01, +4.97590260E+00, +4.60768100E-02, +2.91113190E-01
+4.00376330E+01, +4.97581120E+00, +4.62417400E-02, +2.92126300E-01
+4.00377640E+01, +4.97558920E+00, +4.64053500E-02, +2.93159040E-01
+4.00375020E+01, +4.97552400E+00, +4.65611200E-02, +2.94176110E-01
+4.00384160E+01, +4.97570680E+00, +4.67286600E-02, +2.95165650E-01
+4.00371110E+01, +4.97531500E+00, +4.69001300E-02, +2.96208870E-01
+4.00382860E+01, +4.97536730E+00, +4.70716000E-02, +2.97233760E-01
+4.00382860E+01, +4.97541950E+00, +4.72339000E-02, +2.98261260E-01
+4.00375020E+01, +4.97545870E+00, +4.73962100E-02, +2.99262590E-01
+4.00388080E+01, +4.97540640E+00, +4.75611300E-02, +3.00287480E-01
+4.00386770E+01, +4.97524970E+00, +4.77286800E-02, +3.01307130E-01
+4.00365890E+01, +4.97527590E+00, +4.78988400E-02, +3.02351650E-01
+4.00372410E+01, +4.97538030E+00, +4.80703100E-02, +3.03371300E-01
+4.00364580E+01, +4.97531500E+00, +4.82299900E-02, +3.04380510E-01
+4.00367190E+01, +4.97564150E+00, +4.83949200E-02, +3.05413250E-01
+4.00371110E+01, +4.97592880E+00, +4.85677000E-02, +3.06443370E-01
+4.00372410E+01, +4.97590260E+00, +4.87470200E-02, +3.07481350E-01
