Vin, Vout, TC, Iin, Iout
+0.00000000E+00, -3.92000000E-05, +2.12170000E+01, +1.31000000E-06, +1.31000000E-06
+1.31000000E-04, +0.00000000E+00, +2.12100000E+01, +9.16000000E-06, +2.62000000E-06
+0.00000000E+00, +0.00000000E+00, +2.12120000E+01, -1.31000000E-06, +3.93000000E-06
+4.00348920E+01, +4.99058000E+00, +2.20270000E+01, +1.45290000E-04, -5.24000000E-06
+4.00368500E+01, +4.98115200E+00, +2.21170000E+01, +1.51840000E-04, +2.09400000E-05
+4.00365890E+01, +5.00696790E+00, +2.21660000E+01, +1.38750000E-04, +1.96300000E-05
+4.00107450E+01, +4.90529710E+00, +5.69430000E+01, +7.65512300E-02, +5.00862340E-01
+4.00117890E+01, +4.90927980E+00, +6.26670000E+01, +7.66232200E-02, +5.00853170E-01
+4.00097010E+01, +4.91169560E+00, +6.63810000E+01, +7.66572500E-02, +5.00855790E-01
+4.00106150E+01, +4.91365430E+00, +6.90040000E+01, +7.66926000E-02, +5.00853170E-01
+4.00125720E+01, +4.91515600E+00, +7.10280000E+01, +7.67187700E-02, +5.00850560E-01
+4.00110060E+01, +4.91631820E+00, +7.26480000E+01, +7.67357900E-02, +5.00837470E-01
+4.00123110E+01, +4.91715390E+00, +7.39630000E+01, +7.67619700E-02, +5.00841390E-01
+4.00125720E+01, +4.91805490E+00, +7.51110000E+01, +7.67672000E-02, +5.00846630E-01
+4.00120500E+01, +4.91879920E+00, +7.60520000E+01, +7.67789800E-02, +5.00836160E-01
+4.00127030E+01, +4.91942600E+00, +7.69020000E+01, +7.67960000E-02, +5.00844010E-01
+4.00124420E+01, +4.91994830E+00, +7.76380000E+01, +7.68025500E-02, +5.00838780E-01
+4.00127030E+01, +4.92034010E+00, +7.83110000E+01, +7.68064700E-02, +5.00834850E-01
+4.00128340E+01, +4.92087550E+00, +7.89120000E+01, +7.68143300E-02, +5.00832230E-01
+4.00137470E+01, +4.92125420E+00, +7.94380000E+01, +7.68248000E-02, +5.00847940E-01
+4.00130950E+01, +4.92151530E+00, +7.98940000E+01, +7.68339600E-02, +5.00841390E-01
+4.00132250E+01, +4.92201150E+00, +8.03310000E+01, +7.68326500E-02, +5.00824380E-01
+4.00141390E+01, +4.92202460E+00, +8.06650000E+01, +7.68300300E-02, +5.00828310E-01
+4.00130950E+01, +4.92219430E+00, +8.09730000E+01, +7.68431200E-02, +5.00844010E-01
+4.00141390E+01, +4.92249470E+00, +8.12640000E+01, +7.68509800E-02, +5.00837470E-01
+4.00144000E+01, +4.92250770E+00, +8.15290000E+01, +7.68457400E-02, +5.00845320E-01
+4.00141390E+01, +4.92276890E+00, +8.18020000E+01, +7.68588300E-02, +5.00846630E-01
+4.00154440E+01, +4.92334350E+00, +8.20590000E+01, +7.68509800E-02, +5.00836160E-01
+4.00132250E+01, +4.92350010E+00, +8.22790000E+01, +7.68653700E-02, +5.00841390E-01
+4.00150520E+01, +4.92356540E+00, +8.25150000E+01, +7.68653700E-02, +5.00842700E-01
+4.00147910E+01, +4.92357850E+00, +8.26910000E+01, +7.68666800E-02, +5.00844010E-01
+4.00146610E+01, +4.92369600E+00, +8.28610000E+01, +7.68679900E-02, +5.00830920E-01
+4.00146610E+01, +4.92372210E+00, +8.31000000E+01, +7.68679900E-02, +5.00849250E-01
+4.00157050E+01, +4.92397020E+00, +8.31790000E+01, +7.68706100E-02, +5.00841390E-01
+4.00153130E+01, +4.92385270E+00, +8.33580000E+01, +7.68784600E-02, +5.00847940E-01
+4.00159660E+01, +4.92412690E+00, +8.34300000E+01, +7.68693000E-02, +5.00842700E-01
+4.00167490E+01, +4.92408780E+00, +8.35950000E+01, +7.68706100E-02, +5.00840090E-01
+4.00155750E+01, +4.92420530E+00, +8.37140000E+01, +7.68797700E-02, +5.00842700E-01
+4.00153130E+01, +4.92425750E+00, +8.38750000E+01, +7.68706100E-02, +5.00836160E-01
+4.00163580E+01, +4.92444030E+00, +8.39900000E+01, +7.68784600E-02, +5.00854480E-01
+4.00145300E+01, +4.92445340E+00, +8.40220000E+01, +7.68784600E-02, +5.00840090E-01
+4.00171410E+01, +4.92476680E+00, +8.40670000E+01, +7.68863200E-02, +5.00850560E-01
+4.00162270E+01, +4.92449260E+00, +8.41180000E+01, +7.68745400E-02, +5.00853170E-01
+4.00164880E+01, +4.92454480E+00, +8.41270000E+01, +7.68837000E-02, +5.00840090E-01
+4.00176630E+01, +4.92461010E+00, +8.41550000E+01, +7.68771500E-02, +5.00851870E-01
