Vin, Vout, TC, Iin, Iout
+4.50393040E+01, +4.93219710E+00, +9.56210000E+01, +6.99909000E-02, +5.00916000E-01
+4.50373460E+01, +4.93201430E+00, +9.57120000E+01, +6.99804300E-02, +5.00900300E-01
+4.50396950E+01, +4.93221010E+00, +9.57660000E+01, +6.99922100E-02, +5.00912080E-01
+4.50412620E+01, +4.93235380E+00, +9.57280000E+01, +6.99909000E-02, +5.00902910E-01
+4.50389120E+01, +4.93215790E+00, +9.57340000E+01, +6.99778100E-02, +5.00910770E-01
+4.50402170E+01, +4.93211870E+00, +9.57280000E+01, +6.99869700E-02, +5.00908150E-01
+4.50383900E+01, +4.93192280E+00, +9.57500000E+01, +6.99909000E-02, +5.00916000E-01
+4.50403480E+01, +4.93192280E+00, +9.57150000E+01, +6.99869700E-02, +5.00927780E-01
+4.50391730E+01, +4.93251050E+00, +9.57750000E+01, +6.99987500E-02, +5.00912080E-01
+4.50399560E+01, +4.93239290E+00, +9.56810000E+01, +7.00000600E-02, +5.00895060E-01
+4.50391730E+01, +4.93251050E+00, +9.57280000E+01, +7.00013700E-02, +5.00912080E-01
+4.50394340E+01, +4.93228850E+00, +9.56680000E+01, +6.99935200E-02, +5.00905530E-01
+4.50415230E+01, +4.93245820E+00, +9.56990000E+01, +6.99895900E-02, +5.00905530E-01
+4.50406090E+01, +4.93217100E+00, +9.57580000E+01, +6.99817400E-02, +5.00913390E-01
+4.50400870E+01, +4.93228850E+00, +9.57460000E+01, +6.99895900E-02, +5.00901610E-01
+4.50407390E+01, +4.93226240E+00, +9.57650000E+01, +6.99895900E-02, +5.00908150E-01
+4.50415230E+01, +4.93213180E+00, +9.56500000E+01, +6.99882800E-02, +5.00895060E-01
+4.50385210E+01, +4.93202730E+00, +9.55390000E+01, +6.99869700E-02, +5.00926470E-01
+4.50400870E+01, +4.93228850E+00, +9.55070000E+01, +6.99869700E-02, +5.00914690E-01
+4.50402170E+01, +4.93210570E+00, +9.55660000E+01, +6.99935200E-02, +5.00902910E-01
+4.50398260E+01, +4.93213180E+00, +9.56160000E+01, +6.99961400E-02, +5.00897680E-01
+4.50402170E+01, +4.93230150E+00, +9.57010000E+01, +6.99895900E-02, +5.00916000E-01
+4.50394340E+01, +4.93196200E+00, +9.57230000E+01, +6.99922100E-02, +5.00910770E-01
+4.50398260E+01, +4.93196200E+00, +9.56760000E+01, +6.99882800E-02, +5.00914690E-01
+4.50383900E+01, +4.93224930E+00, +9.55780000E+01, +6.99961400E-02, +5.00909460E-01
+4.50396950E+01, +4.93221010E+00, +9.54990000E+01, +6.99843600E-02, +5.00914690E-01
+4.50391730E+01, +4.93223620E+00, +9.55120000E+01, +6.99922100E-02, +5.00910770E-01
+4.50399560E+01, +4.93200120E+00, +9.55530000E+01, +6.99895900E-02, +5.00913390E-01
+4.50403480E+01, +4.93227540E+00, +9.55840000E+01, +6.99974400E-02, +5.00902910E-01
+4.50398260E+01, +4.93247130E+00, +9.56390000E+01, +6.99856600E-02, +5.00909460E-01
